chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,filename,start,end,word
0.46049774,0.07902565,0.0074719833,6.2057654e-05,1363.2481122587237,453757.57921510923,1377.5112084629436,202835.4351498844,2752.44140625,1778367.7577972412,0.08709716796875,0.003337409347295761,2.837285e-06,5.296714e-06,5.907908e-05,9.117406e-05,[267.85714286],-459.00726,6475.091,136.35455,1651.8137,-10.781426,666.26294,52.63073,1663.0696,-0.07306516,267.198,-10.318716,165.73416,19.48075,440.19864,-16.705809,365.68274,-0.6362004,97.041,-0.25975513,140.30898,-5.0850368,19.091587,8.42337,72.42322,-7.928724,167.88086,1.5668367,62.295246,0.13679683,109.70552,-2.496178,49.22597,0.8940804,10.259274,5.3283076,44.635918,-2.910052,19.820982,5.900113,24.009619,1078.wav,0.0,1.0,three
0.4493785,0.07604896,0.0125625115,0.00013135161,1546.2345966827747,503216.1475068154,1436.0540285027985,191783.60403898777,3108.154296875,1722332.4179649353,0.09234619140625,0.0039726607501506805,2.2117104e-06,1.7024633e-05,-8.632084e-07,0.00021704526,[312.5],-410.50964,6232.9126,127.950806,1348.4735,-22.311886,753.6444,67.76865,1948.4072,8.028935,157.42778,-13.685463,600.2373,18.257019,479.80524,-28.940521,467.89636,-1.3757548,127.42086,-13.367374,490.18402,-4.92348,88.95199,6.3044825,53.50791,-11.720232,97.065704,4.5729547,51.98567,4.522968,72.98525,-4.574483,32.40635,4.7970037,40.78221,-6.779907,141.26193,-4.3151007,67.216,6.572114,27.242355,1722.wav,0.0,1.0,three
0.59077775,0.1004198,0.005810676,1.0729395e-05,1117.8625574873085,505201.24598766497,1431.0641734080978,172953.05622812436,2403.076171875,2047786.1762046814,0.0390625,0.0017943233251571655,0.003299088,6.541863e-06,3.1482283e-05,2.1635942e-05,[312.5],-537.98206,4986.618,112.627014,1444.0752,-2.723225,500.42737,60.198654,1414.8218,5.79217,352.38037,5.674291,79.1259,20.141993,423.0825,-13.608089,382.4108,8.637752,94.45571,2.377338,182.25644,-1.9105883,19.557074,7.223458,90.2504,-2.476562,41.89381,7.8552,47.56555,0.95885813,149.59265,4.145992,63.857998,5.388768,34.071587,4.60965,26.766869,-0.09537205,19.915066,7.9937396,5.69235,1044.wav,0.0,1.0,three
0.47284845,0.07854102,0.005261298,1.1040012e-05,1178.1412214046381,135408.28696606218,1251.474848644654,123805.91980000606,2470.947265625,993439.6147727966,0.0762786865234375,0.00040968856774270535,1.4338537e-05,5.3124854e-06,0.00010526366,2.2968246e-05,[156.25],-443.00073,2869.5598,168.0989,1094.7083,-35.370266,724.1619,45.377693,676.3941,-1.1859623,99.46631,-19.029556,134.58064,19.048204,270.04214,-15.478102,270.27887,8.813923,100.749,0.2583983,330.2105,-1.983132,75.77879,10.2986355,30.338476,-7.9065065,76.091446,1.4766567,37.261017,3.2650976,42.643494,-4.432337,64.158905,9.839227,46.27477,0.05585438,64.61136,-1.3749671,35.681213,8.72325,20.48618,249.wav,0.0,1.0,three
0.6795716,0.061070252,0.008209517,4.4721448e-05,1821.4667912631546,79067.46570896561,1293.9911601822555,56430.061376194855,3191.162109375,119625.0319480896,0.2104034423828125,0.003709187498316169,1.24405615e-05,7.933345e-06,1.3341066e-05,8.30782e-05,[208.33333333],-364.23578,2991.2812,137.79768,741.87964,-86.41076,1625.3032,59.37726,231.56207,-9.388105,124.914185,-16.746096,30.293358,26.603052,202.85748,-34.006546,70.27809,11.72924,38.557537,-2.7142582,86.42642,-12.132311,34.34459,13.258406,89.27937,-10.775791,47.962883,1.4543375,18.554903,5.457712,24.455772,-10.180296,59.37365,7.641901,37.280636,-3.883873,19.448254,-4.7125044,20.545721,6.267645,18.082567,1939.wav,0.0,1.0,three
0.56899005,0.0954468,0.012536265,5.9073915e-05,1964.3204123542018,39014.18799631232,1303.7229438448976,38092.527906413074,3377.9296875,39622.30682373047,0.2077178955078125,0.00306361704133451,-1.50393325e-05,4.913081e-05,-6.239328e-05,7.858661e-05,[312.5],-320.43265,1342.3689,130.92621,1081.7993,-93.41554,822.9304,66.27241,322.82697,-14.584996,42.618446,-13.958875,34.84485,29.37394,139.65382,-34.954918,230.569,14.317833,115.70787,-6.0848513,245.259,-13.334597,40.492184,13.604197,111.607635,-16.01981,43.28784,6.236823,34.835022,-1.2299582,175.47394,-6.8083773,65.979294,5.114125,58.413486,-1.9195602,30.667341,-5.928805,7.004307,8.224173,8.183645,1087.wav,0.0,1.0,three
0.50616133,0.06759022,0.010045272,2.559442e-06,1100.7433059591183,19041.083973494904,1062.2556086883183,25005.3183908877,2200.1953125,116511.34490966797,0.092132568359375,0.00037070270627737045,0.00021889353,3.7390593e-05,2.6441116e-05,2.7689262e-05,[110.29411765],-363.07904,1025.5024,196.2281,1009.81665,-73.32559,684.18854,44.93411,248.07442,-10.921443,123.03725,-20.178295,69.046326,20.219814,236.91135,-29.24423,94.9211,7.9452143,122.99723,6.3264356,51.977413,-16.03449,22.081041,4.8521104,46.283703,-12.650272,33.803467,2.6193724,25.282581,-2.2598372,23.784424,-12.701709,44.171707,3.721725,72.897705,-3.2647946,32.408775,-8.676009,32.00434,2.653429,33.54681,513.wav,0.0,1.0,three
0.62694293,0.06864431,0.005046958,2.3087146e-05,1602.9474558959464,442123.88283057924,1614.7028610480208,139479.80897262171,3294.43359375,1345777.2731781006,0.041168212890625,0.0009274547919631004,-0.0008082252,4.471239e-06,-5.167397e-06,3.7537153e-05,[312.5],-522.24725,10492.234,95.91984,1027.5283,-16.138718,709.191,62.65171,2161.5493,8.596647,241.19968,-2.346308,238.56732,24.893087,476.3587,-18.58549,416.33313,-0.039097577,172.92007,-1.0027034,231.03912,-8.509592,58.719887,6.0170975,94.29193,-10.003251,190.6681,3.6734126,40.61959,2.2732506,65.6943,-0.43579167,58.225216,5.3369703,18.235838,4.7336535,25.848171,-4.60593,26.120655,6.411104,15.294179,507.wav,0.0,1.0,three
0.4852914,0.09817812,0.010562886,5.492439e-05,1215.7535346410589,280703.6352115935,1335.9961370548658,190852.34600980527,2587.40234375,1431199.7890472412,0.06158447265625,0.0006500445306301117,2.0365035e-06,3.0539577e-05,9.3420575e-05,9.343565e-05,[187.5],-404.2966,2758.4202,147.52028,1400.4922,-17.836296,564.3894,51.172676,1088.9167,0.9283645,331.78748,-2.4718719,75.28519,20.870644,330.5708,-13.8590145,366.85397,8.443951,110.77502,-0.5492359,165.56589,-2.1615765,32.60409,6.219326,66.91586,-6.720229,59.11577,7.285898,113.6886,0.92519313,150.44121,2.343903,41.242485,2.086627,20.260693,3.6060405,8.917549,-3.7064779,16.49714,4.924709,17.70299,1093.wav,0.0,1.0,three
0.59415454,0.08222663,0.007764921,4.3989086e-05,1348.9775923277077,864447.7980449582,1455.4154911554047,188462.3129546222,2632.568359375,2421640.3365135193,0.0667266845703125,0.006211453815922141,-0.00053519453,1.0503994e-05,1.583919e-07,9.197689e-05,[312.5],-508.8351,8811.802,104.425156,1697.019,-1.5999973,640.8038,66.58002,2460.4722,11.222041,356.2958,1.3334198,277.35007,24.970032,625.5095,-15.218504,520.4602,2.4365437,179.0434,1.1371908,223.7789,-4.687258,31.838451,7.3902993,61.205578,-6.54068,194.76462,6.5308967,42.30887,3.9589915,70.370636,1.1684477,38.474453,5.464905,24.107231,5.4264193,24.869385,-1.4588902,21.251802,7.2272635,16.759518,1508.wav,0.0,1.0,three
